Date,Close/Last,Volume,Open,High,Low
04/05/2023,202.53,3119362,202.69,203.16,201.58
04/04/2023,203.27,2881821,205.00,205.06,202.53
04/03/2023,204.64,3068203,203.72,204.99,203.33
03/31/2023,204.10,2986275,201.57,204.19,201.57
03/30/2023,201.07,2259151,201.27,201.59,200.12
03/29/2023,199.99,3486491,199.09,200.09,198.61
03/28/2023,197.15,3678717,197.20,197.65,196.14
03/27/2023,197.43,2425422,198.27,198.60,196.92
03/24/2023,196.93,2324909,194.88,196.97,193.65
03/23/2023,195.70,2629691,196.85,198.95,194.25
03/22/2023,196.13,2187887,199.85,201.405,196.12
03/21/2023,199.70,2421657,198.76,200.0499,198.23
03/20/2023,196.89,2898137,195.75,197.38,195.29
03/17/2023,195.19,2902376,197.25,197.43,194.38
03/16/2023,197.74,3225511,193.33,197.91,192.80
03/15/2023,194.38,3855377,192.63,194.40,191.53
03/14/2023,195.89,4473782,195.50,196.95,193.57
03/13/2023,192.46,6253729,190.90,195.16,190.18
03/10/2023,193.26,6310531,196.25,197.00,192.26
03/09/2023,196.57,2974271,200.80,201.75,196.12
03/08/2023,200.53,1985879,200.40,201.00,199.40
03/07/2023,200.27,3346744,203.10,203.47,199.9501
03/06/2023,203.30,3812890,203.86,204.98,203.03
03/03/2023,203.57,2484710,201.08,203.70,200.91
03/02/2023,200.31,3366143,197.99,200.80,197.495
03/01/2023,200.00,4176017,199.38,200.00,198.20
02/28/2023,199.52,2299124,200.25,201.08,199.52
02/27/2023,200.19,2850494,201.31,202.03,199.72
02/24/2023,199.48,3020598,199.29,199.93,198.16
02/23/2023,201.73,3440076,202.09,202.458,199.38
02/22/2023,200.66,3011715,201.00,201.96,199.9296
02/21/2023,200.83,3110758,203.15,203.50,200.65
02/17/2023,205.08,2324041,204.77,205.2327,203.531
02/16/2023,205.68,2458759,205.97,208.02,205.54
02/15/2023,208.46,2003152,206.46,208.4978,206.04
02/14/2023,207.53,2743414,206.65,208.6593,205.31
02/13/2023,207.45,3467200,205.41,207.50,204.99
02/10/2023,205.01,2159772,204.02,205.1796,203.47
02/09/2023,204.64,2705943,208.46,208.61,204.10
02/08/2023,206.65,2945397,207.91,208.71,206.26
02/07/2023,208.88,3028103,206.00,209.563,205.03
02/06/2023,206.28,2841716,206.41,207.07,205.50
02/03/2023,207.84,2854159,207.51,210.18,207.04
02/02/2023,210.01,3730807,209.00,210.88,208.10
02/01/2023,206.92,4385573,203.91,208.32,202.51
01/31/2023,204.43,4827629,201.65,204.49,201.45
01/30/2023,201.21,2992250,202.28,203.61,201.09
01/27/2023,203.94,4521882,202.60,205.05,202.575
01/26/2023,203.12,2806240,202.35,203.28,200.85
01/25/2023,201.05,2801970,198.95,201.20,197.59
01/24/2023,200.95,2679390,200.40,201.455,199.74
01/23/2023,201.28,3438142,199.20,202.16,198.70
01/20/2023,198.76,2429314,195.85,198.81,194.93
01/19/2023,195.02,2282524,195.41,196.24,194.32
01/18/2023,196.62,3890198,200.40,201.09,196.56
01/17/2023,199.77,5426661,200.04,200.88,199.34
01/13/2023,200.04,2798612,197.62,200.269,197.3001
01/12/2023,199.19,3552746,198.79,199.80,196.63
01/11/2023,198.23,3435333,196.55,198.25,196.1539
01/10/2023,195.65,2963520,193.65,195.65,193.29
01/09/2023,194.12,3888341,195.457,196.8882,194.008
01/06/2023,194.04,3184261,191.12,194.64,189.85
01/05/2023,189.85,4149991,191.22,191.27,189.46
01/04/2023,192.10,3852482,191.51,193.06,190.14
01/03/2023,190.41,4092466,192.38,193.36,188.93
12/30/2022,191.19,5979830,190.18,191.27,189.28
12/29/2022,191.68,5425657,189.49,192.16,189.366
12/28/2022,188.22,5711907,190.65,191.50,188.06
12/27/2022,190.62,6037700,191.39,191.52,189.75
12/23/2022,191.42,4214440,190.00,191.44,189.01
12/22/2022,190.37,5153889,191.61,191.68,187.38
12/21/2022,194.04,4973432,192.47,194.6516,192.20
12/20/2022,191.15,5637787,190.42,191.97,189.73
12/19/2022,190.75,6433831,192.80,192.92,189.95
12/16/2022,192.69,4755411,193.51,194.22,191.42
12/15/2022,194.92,5544545,197.21,197.71,194.07
12/14/2022,199.90,3331221,200.92,202.72,198.27
12/13/2022,201.02,4191885,205.628,205.628,199.62
12/12/2022,199.53,3931575,197.00,199.53,196.70
12/09/2022,196.70,3784948,197.53,198.83,196.623
12/08/2022,198.36,3982559,197.55,198.918,196.822
12/07/2022,196.66,3438113,196.45,197.97,196.02
12/06/2022,196.98,3901011,199.91,200.05,195.84
12/05/2022,199.98,3840516,202.51,202.96,199.25
12/02/2022,203.99,2917063,201.55,204.48,201.1974
12/01/2022,204.18,4354537,204.83,205.47,202.79
11/30/2022,204.06,4201324,198.14,204.10,197.04
11/29/2022,197.96,2640711,198.49,199.06,197.10
11/28/2022,198.27,3366776,199.93,200.755,197.8037
11/25/2022,201.54,1289076,201.22,201.83,201.03
11/23/2022,201.39,2685706,200.00,201.755,199.8258
11/22/2022,200.17,3390268,198.13,200.2864,197.79
11/21/2022,197.58,2962114,197.72,198.21,196.65
11/18/2022,198.42,3039298,199.08,199.41,196.90
11/17/2022,197.49,3705403,195.67,197.895,195.45
11/16/2022,198.32,2904962,199.45,199.72,198.03
11/15/2022,200.36,4606211,201.50,202.14,198.34
11/14/2022,198.35,4248218,199.26,200.92,198.21
11/11/2022,200.16,4550171,198.58,200.70,197.82
11/10/2022,198.14,3981594,194.35,198.31,193.65
