Date,Close/Last,Volume,Open,High,Low
08/31/2023,62.18,2654483,62.48,62.4927,62.05
08/30/2023,62.53,1381144,62.60,62.7695,62.43
08/29/2023,62.60,1012616,61.70,62.61,61.655
08/28/2023,61.75,1553241,61.60,61.805,61.54
08/25/2023,61.17,973550,61.16,61.365,60.64
08/24/2023,60.89,1124880,61.41,61.54,60.865
08/23/2023,61.55,795283,61.06,61.63,61.06
08/22/2023,60.81,1342480,61.16,61.19,60.76
08/21/2023,60.91,1342169,60.84,60.97,60.575
08/18/2023,60.71,1232934,60.36,60.825,60.33
08/17/2023,60.86,1308723,61.47,61.5155,60.78
08/16/2023,61.11,2151253,61.32,61.59,61.10
08/15/2023,61.57,1528282,62.03,62.03,61.49
08/14/2023,62.35,755060,62.10,62.42,61.87
08/11/2023,62.65,885405,62.68,62.86,62.5218
08/10/2023,63.13,741264,63.53,63.90,63.07
08/09/2023,62.99,808527,63.08,63.185,62.815
08/08/2023,62.90,1509449,62.63,62.94,62.43
08/07/2023,63.44,1191625,63.41,63.44,63.07
08/04/2023,63.10,1644627,63.19,63.7099,63.0201
08/03/2023,62.92,1105399,62.66,63.11,62.65
08/02/2023,63.01,1922308,63.44,63.44,62.90
08/01/2023,64.25,4923483,64.52,64.625,64.173
07/31/2023,65.10,965390,65.00,65.25,65.00
07/28/2023,65.05,526459,64.98,65.18,64.825
07/27/2023,64.29,863617,65.03,65.03,64.21
07/26/2023,64.67,1570585,64.14,64.84,64.13
